published_date,timestamp,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-28,2024-03-28 12:00:00,1011.0,1014.0,1011.0,1014.0,0.3,35.0,35640.0,1
2024-03-28,2024-03-28 13:00:00,1014.0,1017.0,1014.0,1017.0,0.3,35.0,35640.0,1
2024-03-28,2024-03-28 14:00:00,1017.0,1020.0,1017.0,1020.0,0.29,35.0,35640.0,1
2024-03-28,2024-03-28 15:00:00,1020.0,1020.0,1008.0,1020.0,0.0,35.0,35640.0,0
2024-03-31,2024-03-31 11:00:00,1002.0,1002.0,1002.0,1002.0,0.0,3.0,3006.0,0
2024-03-31,2024-03-31 12:00:00,1002.0,1002.0,1002.0,1002.0,0.0,3.0,3006.0,0
2024-03-31,2024-03-31 13:00:00,1002.0,1002.0,1002.0,1002.0,0.0,3.0,3006.0,0
2024-03-31,2024-03-31 14:00:00,1002.0,1002.0,1002.0,1002.0,0.0,3.0,3006.0,0
2024-03-31,2024-03-31 15:00:00,1002.0,1002.0,1002.0,1002.0,0.0,3.0,3006.0,0
2024-04-01,2024-04-01 11:00:00,1022.0,1030.0,1022.0,1026.0,0.39,1004.0,1042088.0,1
2024-04-01,2024-04-01 12:00:00,1026.0,1030.0,1026.0,1030.0,0.39,1004.0,1042088.0,1
2024-04-01,2024-04-01 13:00:00,1030.0,1034.0,1030.0,1034.0,0.39,1004.0,1042088.0,1
2024-04-01,2024-04-01 14:00:00,1034.0,1038.0,1034.0,1038.0,0.39,1004.0,1042088.0,1
2024-04-01,2024-04-01 15:00:00,1038.0,1038.0,1022.0,1038.0,0.0,1004.0,1042088.0,0
2024-04-02,2024-04-02 11:00:00,1021.0,1021.0,1021.0,1021.0,0.0,4.0,4084.0,0
2024-04-02,2024-04-02 12:00:00,1021.0,1021.0,1021.0,1021.0,0.0,4.0,4084.0,0
2024-04-02,2024-04-02 13:00:00,1021.0,1021.0,1021.0,1021.0,0.0,4.0,4084.0,0
2024-04-02,2024-04-02 14:00:00,1021.0,1021.0,1021.0,1021.0,0.0,4.0,4084.0,0
2024-04-02,2024-04-02 15:00:00,1021.0,1021.0,1021.0,1021.0,0.0,4.0,4084.0,0
2024-04-09,2024-04-09 11:00:00,1040.0,1040.7,1040.0,1040.35,0.03,8.8,9157.32,1
2024-04-09,2024-04-09 12:00:00,1040.35,1040.7,1040.35,1040.7,0.03,8.8,9157.32,1
2024-04-09,2024-04-09 13:00:00,1040.7,1041.05,1040.7,1041.05,0.03,8.8,9157.32,1
2024-04-09,2024-04-09 14:00:00,1041.05,1041.4,1041.05,1041.4,0.03,8.8,9157.32,1
2024-04-09,2024-04-09 15:00:00,1041.4,1041.4,1040.0,1041.4,0.0,8.8,9157.32,0
2024-04-10,2024-04-10 11:00:00,1023.0,1023.0,1023.0,1023.0,0.0,5.0,5115.0,0
2024-04-10,2024-04-10 12:00:00,1023.0,1023.0,1023.0,1023.0,0.0,5.0,5115.0,0
2024-04-10,2024-04-10 13:00:00,1023.0,1023.0,1023.0,1023.0,0.0,5.0,5115.0,0
2024-04-10,2024-04-10 14:00:00,1023.0,1023.0,1023.0,1023.0,0.0,5.0,5115.0,0
2024-04-10,2024-04-10 15:00:00,1023.0,1023.0,1023.0,1023.0,0.0,5.0,5115.0,0
2024-04-14,2024-04-14 11:00:00,1038.0,1038.0,1038.0,1038.0,0.0,4.0,4152.0,0
2024-04-14,2024-04-14 12:00:00,1038.0,1038.0,1038.0,1038.0,0.0,4.0,4152.0,0
2024-04-14,2024-04-14 13:00:00,1038.0,1038.0,1038.0,1038.0,0.0,4.0,4152.0,0
